anchore-cli image vuln docker.io/ubuntu:latest all
Vulnerability ID        Package                                  Severity          Fix         Vulnerability URL
CVE-2013-4235           login-1:4.5-1ubuntu1                     Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-4235
CVE-2013-4235           passwd-1:4.5-1ubuntu1                    Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-4235
CVE-2015-5180           libc-bin-2.27-3ubuntu1                   Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5180
CVE-2015-5180           libc6-2.27-3ubuntu1                      Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5180
CVE-2015-8985           libc-bin-2.27-3ubuntu1                   Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-8985
CVE-2015-8985           libc6-2.27-3ubuntu1                      Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-8985
CVE-2016-2779           fdisk-2.31.1-0.4ubuntu3.2                Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2779           libblkid1-2.31.1-0.4ubuntu3.2            Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2779           libfdisk1-2.31.1-0.4ubuntu3.2            Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2779           libmount1-2.31.1-0.4ubuntu3.2            Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2779           libsmartcols1-2.31.1-0.4ubuntu3.2        Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2779           libuuid1-2.31.1-0.4ubuntu3.2             Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2779           mount-2.31.1-0.4ubuntu3.2                Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2779           util-linux-2.31.1-0.4ubuntu3.2           Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2779
CVE-2016-2781           coreutils-8.28-1ubuntu1                  Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-2781
CVE-2016-3189           bzip2-1.0.6-8.1                          Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-3189
CVE-2016-3189           libbz2-1.0-1.0.6-8.1                     Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-3189
CVE-2016-5011           fdisk-2.31.1-0.4ubuntu3.2                Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-5011           libblkid1-2.31.1-0.4ubuntu3.2            Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-5011           libfdisk1-2.31.1-0.4ubuntu3.2            Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-5011           libmount1-2.31.1-0.4ubuntu3.2            Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-5011           libsmartcols1-2.31.1-0.4ubuntu3.2        Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-5011           libuuid1-2.31.1-0.4ubuntu3.2             Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-5011           mount-2.31.1-0.4ubuntu3.2                Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2016-5011           util-linux-2.31.1-0.4ubuntu3.2           Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2016-5011
CVE-2017-1000408        libc-bin-2.27-3ubuntu1                   Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000408
CVE-2017-1000408        libc6-2.27-3ubuntu1                      Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000408
CVE-2017-1000409        libc-bin-2.27-3ubuntu1                   Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000409
CVE-2017-1000409        libc6-2.27-3ubuntu1                      Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000409
CVE-2017-15670          libc-bin-2.27-3ubuntu1                   Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-15670
CVE-2017-15670          libc6-2.27-3ubuntu1                      Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-15670
CVE-2017-15804          libc-bin-2.27-3ubuntu1                   Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-15804
CVE-2017-15804          libc6-2.27-3ubuntu1                      Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-15804
CVE-2017-16997          libc-bin-2.27-3ubuntu1                   Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-16997
CVE-2017-16997          libc6-2.27-3ubuntu1                      Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-16997
CVE-2018-7169           login-1:4.5-1ubuntu1                     Low               None        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-7169
